Title,imdbID,tmdbId,BoxOffice
Arsenal,tt5580536,388202.0,0
Mascots,tt4936176,368993.0,0
LOL,tt1592873,80271.0,10500000
Hisss,tt1244093,47655.0,0
Sacrifice,tt2078718,394661.0,0
The Games Maker,tt2766268,262788.0,5205106
Mrs. Brown's Boys D'Movie,tt3433074,262340.0,23000000
Sharktopus vs. Whalewolf,tt3292154,344147.0,0
The Hunter's Prayer,tt2674358,302150.0,0
Bad Asses on the Bayou,tt3525346,309887.0,0
I Am Wrath,tt3212232,332411.0,0
Posti in piedi in paradiso,tt1846985,93855.0,9303603
Attraction,tt4731148,401513.0,19454845
Love in Disguise,tt1646214,49704.0,0
Realive,tt4074928,399612.0,0
Hamilton: In the Interest of the Nation,tt1856014,82450.0,8249053
Security,tt3501112,460846.0,0
Snowtime!,tt5143700,366656.0,0
The Tall Man,tt1658837,86597.0,0
The Invisible Boy,tt3078296,303542.0,5216102
American Heist,tt2923316,250066.0,0
In Dubious Battle,tt4411618,337844.0,213982
Operações Especiais,tt4058210,363925.0,0
7 Below,tt1988781,84577.0,0
The Letter,tt0032701,17801.0,0
The Reunion,tt2402091,202573.0,0
Adventures in Zambezia,tt1488181,133931.0,0
Vishwaroopam,tt2199711,117319.0,51000000
Veeram,tt3320578,247504.0,19000000
Blue Crush 2,tt1630626,58443.0,0
Re-Kill,tt1612319,106845.0,0
The Prince,tt1085492,241254.0,1289595
Warsaw 44,tt3765326,293982.0,0
Fog in August,tt4250566,380075.0,0
Tad: The Lost Explorer,tt1764625,121734.0,23000000
Freelancers,tt1815708,122800.0,0
Swelter,tt2112277,256687.0,0
The Ward,tt1369706,45657.0,5343820
Drift,tt1714833,137968.0,0
One Man and His Cow,tt4505208,377799.0,0
7aum Arivu,tt1725795,86718.0,98900000
Just Call Me Nobody,tt1825731,58365.0,0
Careful What You Wish For,tt1629242,317744.0,0
Generation War,tt1883092,178446.0,0
Kickboxer: Vengeance,tt3082898,308529.0,0
Misconduct,tt3658772,373314.0,2049761
Special 26,tt2377938,165904.0,18000000
Forsaken,tt2271563,354110.0,0
Faces in the Crowd,tt1536410,70577.0,0
Halo 4: Forward Unto Dawn,tt2262308,119431.0,0
Saving Santa,tt2204315,238302.0,0
Dead in Tombstone,tt2268419,151933.0,0
Laurence Anyways,tt1650048,110160.0,0
Automata,tt1971325,262543.0,6237990
Straight A's,tt2024506,153795.0,61669
Into the Grizzly Maze,tt1694021,244316.0,0
The Coming Days,tt1545985,63077.0,0
Twixt,tt1756851,78381.0,647839
Chinese Zodiac,tt1424310,98567.0,171300000
Bait,tt1438173,118957.0,32500000
Underdogs,tt1634003,153158.0,32768940
Shanghai,tt2072227,100681.0,4900000
Foodfight!,tt0249516,116977.0,73706
Little Big Soldier,tt1319718,35138.0,0
HOUBA! On the Trail of the Marsupilami,tt1723642,102207.0,50100000
Get the Gringo,tt1567609,80389.0,8826837
Pink,tt5571734,415358.0,15020702
Grace of Monaco,tt2095649,215211.0,26576000
The Physician,tt2101473,169881.0,57300000
Sunstroke,tt4119030,301016.0,0
Dark Tide,tt1507563,59963.0,432274
Wild Card,tt2231253,265208.0,6738764
The Factory,tt1132285,136911.0,0
Dragon Nest: Warriors' Dawn,tt2911342,257932.0,0
The Pacific,tt0374463,189197.0,0
